ID;Straftat;Anzahl erfasster Fälle;erfasste Fälle, davon Versuche;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Anzahl aufgeklärter Fälle;Aufklärungsqoute;Tatverdächtige insgesamt;Tatverdächtige, davon männlich;Tatverdächtige, davon weiblich
1;rape, sexual assault and sexual attack;55;3;0;0;47;85,5;49;49;0
2;robbery and predatory attack;533;87;7;0;322;60,4;458;429;29
3;Körperverletzung;3.588;250;1;5;3.043;84,8;2.965;2.459;506
4;Diebstahl;20.013;3.315;0;0;6.431;32,1;3.700;2.688;1.012
5;Betrug;8.503;492;0;0;7.638;89,8;4.813;3.373;1.440
6;Sachbeschädigung;4.689;55;0;5;1.090;23,2;973;821;152
7;Rauschgiftdelikte;2.240;28;0;0;2.114;94,4;1.860;1.596;264
8;Mord, Totschlag und Tötung auf Verlangen;17;9;0;0;17;100;20;18;2
9;Cybercrime;814;126;0;0;459;56,4;338;242;96
10;Straßenkriminalität;9.029;533;1;5;1.882;20,8;1.646;1.454;192
