ID;Straftat;Anzahl erfasster Fälle;erfasste Fälle, davon Versuche;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Anzahl aufgeklärter Fälle;Aufklärungsqoute;Tatverdächtige insgesamt;Tatverdächtige, davon männlich;Tatverdächtige, davon weiblich
0;Straftaten insgesamt;56.555;5.108;32;19;29.804;52,7;17.532;12.939;4.593
1;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff;11;0;0;0;10;90,9;10;10;0
2;Raub, räuberische Erpressung und räuberischer Angriff;583;108;32;3;282;318;376;342;34
3;Körperverletzung;2.871;220;1;3;2.306;154;2.336;2.003;333
4;Diebstahl;26.940;3.855;0;0;7.986;29,6;4.609;3.410;1.199
5;Betrug;11.165;765;0;0;9.619;86,2;6.564;4.382;2.182
6;Sachbeschädigung;4.839;59;0;9;1.015;21,0;898;789;109
7;Rauschgiftdelikte;1.993;18;0;0;1.860;93,3;1.648;1.417;231
8;Mord und Totschlag;19;12;0;0;18;94,7;22;20;2
9;Cybercrime;560;83;0;0;277;100;222;164;58
10;Straßenkriminalität;12.320;964;4;6;1.983;16,1;1.716;1.540;176
