Jahr;Stadtteil (zusammengefasst);Fälle erfasst;Fälle aufgeklärt;Tatverdächtige insgesamt
2019;StB 5 Blasewitz;4083;1873;1648
2019;StB 6 Leuben;1698;890;763
2019;StB 7 Prohlis;3914;2137;1800
2019;StB 8 Plauen;2962;1480;1367
2019;StB 9 Cotta/westliche Ortschaften;5669;2822;2333
2019;Insgesamt;46376;25329;15449
2018;01 Innere Altstadt;2591;1533;1230
2018;02 Pirnaische Vorstadt;699;340;345
2018;03 Seevorstadt-Ost/Großer Garten;4738;3411;2734
2018;04 Wilsdruffer Vorstadt/Seevorstadt-West;1360;516;501
2018;05 Friedrichstadt;3156;2127;1998
2018;06 Johannstadt-Nord;896;340;288
2018;07 Johannstadt-Süd;775;370;312
2018;11 Äußere Neustadt (Antonstadt);3843;1852;1322
2018;12 Radeberger Vorstadt;534;258;216
2018;13 Innere Neustadt;1588;881;696
2018;14 Leipziger Vorstadt;1386;596;533
2018;15 Albertstadt;584;362;344
2018;21 Pieschen-Süd;813;392;312
2018;22 Mickten;722;361;320
2018;23 Kaditz;705;419;415
2018;24 Trachau;518;252;220
2018;25 Pieschen-Nord/Trachenberge;719;383;329
2018;31 Flughafen/Industriegebiet Klotzsche;659;352;273
2018;32 Hellerau/Wilschdorf;110;57;65
2018;35 Weixdorf;151;88;71
2018;36 Langebrück/Schönborn;56;34;26
2018;41 Loschwitz/Wachwitz;220;102;84
2018;42 Bühlau/Weißer Hirsch;250;120;92
2018;43 Hosterwitz/Pillnitz;105;58;46
2018;45 Weißig;135;76;64
2018;46 Gönnsdorf/Pappritz;47;31;24
2018;47 Schönfeld/Schullwitz;46;23;21
2018;51 Blasewitz;574;292;206
2018;52 Striesen-Ost;421;179;155
2018;53 Striesen-Süd;658;323;301
2018;54 Striesen-West;521;235;206
2018;55 Tolkewitz/Seidnitz-Nord;166;57;57
2018;56 Seidnitz/Dobritz;888;482;418
2018;57 Gruna;585;288;246
2018;61 Leuben;746;422;385
2018;62 Laubegast;439;212;162
2018;63 Kleinzschachwitz;168;49;42
2018;64 Großzschachwitz;225;105;108
2018;71 Prohlis-Nord;676;364;314
2018;72 Prohlis-Süd;626;339;277
2018;73 Niedersedlitz;346;151;119
2018;74 Lockwitz;418;274;260
2018;75 Leubnitz-Neuostra;409;211;172
2018;76 Strehlen;1033;594;522
2018;77 Reick;463;268;225
2018;81 Südvorstadt-West;1373;748;687
2018;82 Südvorstadt-Ost;623;292;263
2018;83 Räcknitz/Zschertnitz;377;150;121
2018;84 Kleinpestitz/Mockritz;289;128;129
2018;85 Coschütz/Gittersee;177;101;103
2018;86 Plauen;431;158;132
2018;90 Cossebaude/Mobschatz/Oberw.;367;287;104
2018;91 Cotta;568;286;241
2018;92 Löbtau-Nord;712;324;275
2018;93 Löbtau-Süd;796;401;361
2018;94 Naußlitz;466;256;238
2018;95 Gorbitz-Süd;651;412;359
2018;96 Gorbitz-Ost;403;254;207
2018;97 Gorbitz-Nord/Neu-Omsewitz;591;370;316
2018;98 Briesnitz;333;160;145
2018;99 Altfranken/Gompitz;194;127;114
2018;StB 0 Altstadt;14215;8637;7408
2018;StB 1 Neustadt;7935;3949;3111
2018;StB 2 Pieschen;3477;1807;1596
2018;StB 3 Klotzsche/nördliche Ortschaften;976;531;435
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;803;410;331
2018;StB 5 Blasewitz;3813;1856;1589
2018;StB 6 Leuben;1578;788;697
2018;StB 7 Prohlis;3971;2201;1889
2018;StB 8 Plauen;3270;1577;1435
2018;StB 9 Cotta/westliche Ortschaften;5081;2877;2360
2018;Insgesamt;49152;27792;16537
