ID;Straftat;Anzahl erfasster Fälle;erfasste Fälle, davon Versuche;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Anzahl aufgeklärter Fälle;Aufklärungsqoute;Tatverdächtige insgesamt;Tatverdächtige, davon männlich;Tatverdächtige, davon weiblich
1;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff;39;3;0;0;31;79,5;33;33;0
2;Raub, räuberische Erpressung und räuberischer Angriff;521;98;24;0;276;53;437;402;35
3;Körperverletzung;3.389;281;1;7;2.758;81,3;2.727;2.342;385
4;Diebstahl;21.955;2.654;0;0;7.416;33,8;4.375;3.288;1.087
5;Betrug;7.012;408;0;0;6.224;88,8;4.309;3.046;1.263
6;Sachbeschädigung;4.550;49;0;17;1.128;24,8;995;858;137
7;Rauschgiftdelikte;2.455;46;0;0;2.295;93,5;2.021;1.804;217
8;Mord, Totschlag und Tötung auf Verlangen;13;8;0;0;12;92,3;13;12;1
9;Cybercrime;609;114;0;0;390;64;290;207;83
10;Straßenkriminalität;10.288;658;6;11;1.904;18,5;1.878;1.733;145
